prediction,references
"ssional. This is the question: How to diagnose What I need to know about Hepatitis C ? [/] \n Your health care provider will diagnose hepatitis C with blood tests. The blood tests will show whether you have hepatitis C and how well your liver is working. Your health care provider may recommend more tests to find out how far the virus has damaged your liver.
                
In addition to blood tests, your health care provider may use one or more of the following tests to show how your liver is working:
                
- A blood test that shows the levels of liver enzymes in your blood. Liver enzymes are proteins normally found in","A blood test will show if you have hepatitis C. Blood tests are done at a doctors office or outpatient facility. A blood sample is taken using a needle inserted into a vein in your arm or hand. The blood sample is sent to a lab to test for hepatitis C.
                
If you are at higher risk of getting hepatitis C, get tested. Many people with hepatitis C do not know they are infected.
                
Your doctor may suggest getting a liver biopsy if chronic hepatitis C is suspected. A liver biopsy is a test to take a small piece of your liver to look for liver damage. The doctor may ask you to stop taking certain medicines before the test. You may be asked to fast for 8 hours before the test.
                
During the test, you lie on a table with your right hand resting above your head. Medicine is applied to numb the area where the biopsy needle will be inserted. If needed, sedatives and pain medicine are also given. The doctor uses a needle to take a small piece of liver tissue. After the test, you must lie on your right side for up to 2 hours. You will stay 2 to 4 hours after the test before being sent home.
                
A liver biopsy is performed at a hospital or outpatient center by a doctor. The liver sample is sent to a special lab where a doctor looks at the tissue with a microscope and sends a report to your doctor.</s>"
"edical professional. This is the question: Is Pelizaeus-Merzbacher disease inherited ? [/INST] \n How is Pelizaeus-Merzbacher disease inherited? The majority of Pelizaeus-Merzbacher disease cases are inherited in an X-linked recessive pattern. This means that the disease is caused by mutations in the PLP1 gene, which is located on the X chromosome. Females have two X chromosomes, and males have one X and one Y chromosome. In males, the PLP1 mutation causes the disease, while in females, a normal copy of the gene on one of the X chromosomes",How is Pelizaeus-Merzbacher disease inherited?</s>
"u are a medical professional. This is the question: What is (are) Precocious puberty ? [/] \n Precocious puberty is the early onset of sexual development in a child. It is most often caused by a hormone imbalance. This imbalance can be due to a benign tumor on the pituitary gland or a tumor elsewhere in the body. Sometimes the cause is unknown. Rarely, precocious puberty can be due to genetic conditions or brain injury. Most cases of precocious puberty go away on their own, although treatment may be needed in some cases. Treatment depends on the cause and age of","Precocious puberty is when a person's sexual and physical traits develop and mature earlier than normal. Normal puberty typically begins between ages 10 and 14 for girls, and ages 12 and 16 for boys. The start of puberty depends on various factors such as family history, nutrition and gender. The cause of precocious puberty is not always known. Some cases of precocious puberty are due to conditions that cause changes in the body's release of hormones. Treatment involves medications that can stop the release of sexual hormones.</s>"
"ly, you are a medical professional. This is the question: What is (are) 3MC syndrome ? [/] \n 3MC syndrome is an extremely rare, multisystem disorder that is characterized by craniofacial abnormalities, intellectual disability, and other features. The signs and symptoms vary but may include craniosynostosis (premature fusion of certain skull bones); distinctive facial features; abnormalities of the eyes, ears, nose, and throat; hearing loss; speech impairment; poor muscle tone (hypotonia); developmental delay; and/or mild to severe intellectual disability. Additional features may include","3MC syndrome is a disorder characterized by unusual facial features and problems affecting other tissues and organs of the body.  The distinctive facial features of people with 3MC syndrome include widely spaced eyes (hypertelorism), a narrowing of the eye opening (blepharophimosis), droopy eyelids (ptosis), highly arched eyebrows, and an opening in the upper lip (cleft lip) with an opening in the roof of the mouth (cleft palate). Common features affecting other body systems include developmental delay, intellectual disability, hearing loss, and slow growth after birth resulting in short stature. Other features of 3MC syndrome can include abnormal fusion of certain bones in the skull (craniosynostosis) or forearm (radioulnar synostosis); an outgrowth of the tailbone (caudal appendage); a soft out-pouching around the belly-button (an umbilical hernia); and abnormalities of the kidneys, bladder, or genitals.  3MC syndrome encompasses four disorders that were formerly considered to be separate: Mingarelli, Malpeuch, Michels, and Carnevale syndromes. Researchers now generally consider these disorders to be part of the same condition, which is called 3MC based on the initials of the older condition names.</s>"
"u are a medical professional. This is the question: Is MTHFR gene mutation inherited ? [/] \n How are MTHFR gene mutations inherited? The MTHFR gene mutations are inherited in a mitochondrial pattern, which is also known as maternal inheritance. This pattern of inheritance applies to genes contained in mtDNA. Because egg cells, but not sperm cells, contribute mitochondria to the developing embryo, children can only inherit disorders resulting from mtDNA mutations from their mother. These disorders can appear in every generation of a family and can affect both males and females, but fathers do not pass on mtDNA traits","How is a MTHFR gene mutation inherited? Because each person has two copies of the MTHFR gene, people can inherit one copy of the MTHFR mutation or two copies (one from each parent). People who inherit two copies of a common MTHFR gene mutation (for example two C677T mutations or a C677T mutation and a A1298C mutation) may have an increased risk for certain conditions such as coronary artery disease, blood clots, and stroke when compared to those without the mutations and elevated homocystine levels. Coronary artery disease, blood clots, and stroke are all complex conditions and are caused by a combination of many genetic and environmental factors. Some rare MTHFR gene mutations can lead to homocystinuria, which is inherited in an autosomal recessive manner. Visit our ""Homocystinuria due to MTHFR deficiency"" webpage.</s>"
"medical professional. This is the question: What is (are) Childhood Hodgkin Lymphoma ? [/] \n Key Points
                    - Childhood Hodgkin lymphoma is a disease in which malignant (cancer) cells form in the lymph system.    - There are different types of lymphocytes, including B lymphocytes and T lymphocytes.    - Having certain diseases and conditions can increase the risk of childhood Hodgkin lymphoma.     - Signs and symptoms of childhood Hodgkin lymphoma include swelling in the lymph nodes, fever, night","Key Points
                    - Childhood Hodgkin lymphoma is a disease in which malignant (cancer) cells form in the lymph system.    - There are two types of childhood Hodgkin lymphoma.     - Epstein-Barr virus infection increases the risk of childhood Hodgkin lymphoma.    - Signs of childhood Hodgkin lymphoma include swollen lymph nodes, fever, night sweats, and weight loss.    - Tests that examine the lymph system are used to detect (find) and diagnose childhood Hodgkin lymphoma.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Childhood Hodgkin lymphoma is a disease in which malignant (cancer) cells form in the lymph system.
                    Childhood Hodgkin lymphoma is a type of cancer that develops in the lymph system, which is part of the body's immune system. The immune system protects the body from foreign substances, infection, and diseases. The lymph system is made up of the following:         -  Lymph: Colorless, watery fluid that carries white blood cells called lymphocytes through the lymph system. Lymphocytes protect the body against infections and the growth of tumors.    -  Lymph vessels: A network of thin tubes that collect lymph from different parts of the body and return it to the bloodstream.     -  Lymph nodes: Small, bean-shaped structures that filter lymph and store white blood cells that help fight infection and disease. Lymph nodes are located along the network of lymph vessels found throughout the body. Clusters of lymph nodes are found in the neck, underarm, abdomen, pelvis, and groin.    -  Spleen: An organ that makes lymphocytes, filters the blood, stores blood cells, and destroys old blood cells. The spleen is on the left side of the abdomen near the stomach.    -  Thymus: An organ in which lymphocytes grow and multiply. The thymus is in the chest behind the breastbone.    -  Tonsils: Two small masses of lymph tissue at the back of the throat. The tonsils make lymphocytes.    -  Bone marrow: The soft, spongy tissue in the center of large bones. Bone marrow makes white blood cells, red blood cells, and platelets.         Lymph tissue is also found in other parts of the body such as the stomach, thyroid gland, brain, and skin.   There are two general types of lymphoma: Hodgkin lymphoma and non-Hodgkin lymphoma. (See the PDQ summary on Childhood Non-Hodgkin Lymphoma Treatment for more information.)     Hodgkin lymphoma often occurs in adolescents 15 to 19 years of age. The treatment for children and adolescents is different than treatment for adults. (See the PDQ summary on Adult Hodgkin Lymphoma Treatment for more information.)
                
                
                    There are two types of childhood Hodgkin lymphoma.
                    The two types of childhood Hodgkin lymphoma are:         -  Classical Hodgkin lymphoma.    -  Nodular lymphocyte-predominant Hodgkin lymphoma.        Classical Hodgkin lymphoma is divided into four subtypes, based on how the cancer cells look under a microscope:         - Lymphocyte-rich classical Hodgkin lymphoma.     - Nodular sclerosis Hodgkin lymphoma.     - Mixed cellularity Hodgkin lymphoma.     - Lymphocyte-depleted Hodgkin lymphoma.</s>"
"hat are the genetic changes related to deafness-dystonia-optic neuronopathy syndrome ? [/INST] \n DDON syndrome is caused by mutations in the SLC26A4 gene. This gene provides instructions for making a protein that transports certain amino acids and certain fats (lipids) across cell membranes. The transport of these substances is important for the normal function of cells and tissues.  SLC26A4 gene mutations lead to the production of an abnormally short, nonfunctional protein that disrupts the transport of amino acids and lipids across cell membranes. The disruption of amino acid and li","Mutations in the TIMM8A gene cause DDON syndrome. The protein produced from this gene is found inside the energy-producing centers of cells (mitochondria). The TIMM8A protein forms a complex (a group of proteins that work together) with a very similar protein called TIMM13. This complex functions by transporting other proteins within the mitochondria.  Most mutations in the TIMM8A gene result in the absence of functional TIMM8A protein inside the mitochondria, which prevents the formation of the TIMM8A/TIMM13 complex. Researchers believe that the lack of this complex leads to abnormal protein transport, although it is unclear how abnormal protein transport affects the function of the mitochondria and causes the signs and symptoms of DDON syndrome.</s>"
"essional. This is the question: What are the symptoms of Unverricht-Lundborg disease ? [/] \n What are the signs and symptoms of Unverricht-Lundborg disease? The Human Phenotype Ontology provides the following list of signs and symptoms for Unverricht-Lundborg disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the perivascular spaces 90% Abnormality of the retinal","What are the signs and symptoms of Unverricht-Lundborg disease? The Human Phenotype Ontology provides the following list of signs and symptoms for Unverricht-Lundborg disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Absence seizures - Ataxia - Autosomal recessive inheritance - Dysarthria - Generalized tonic-clonic seizures - Mental deterioration - Myoclonus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
" medical professional. This is the question: Is Ellis-van Creveld syndrome inherited ? [/] \n Ellis-van Creveld syndrome is not inherited. The abnormal genetic changes that cause the condition typically occur randomly, as a random event in early embryonic development (called a de novo mutation). These genetic changes are not inherited from a person's parents. A person with Ellis-van Creveld syndrome cannot pass the disorder on to his or her children.  Rarely, people with certain genetic disorders, such as WAGR syndrome or Fanconi anemia, develop Ellis-van Creveld syndrome.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.</s>"
" professional. This is the question: What are the treatments for Klver-Bucy Syndrome ? [/INST] \n The treatment of Klver-Bucy syndrome varies and is symptomatic. People with the disorder should be evaluated regularly by a neurologist or other specialist. Medications may help some patients cope with the disorder, but the drugs often lose their effectiveness over time. Patients with Klver-Bucy syndrome often need to be monitored closely because the disorder can be fatal. Because they lack insight into their impaired cognitive abilities, people with the disorder often injure themselves or engage in dangerous activities that result in injury.","Treatment is symptomatic and supportive, and may include drug therapy.</s>"
" medical professional. This is the question: What is (are) Dandy-Walker malformation ? [/] \n Dandy-Walker malformation is a condition that affects the cerebellum, the part of the brain that controls balance and coordination. In people with Dandy-Walker malformation, the fourth ventricle, which is the channel that allows fluid to drain from the brain, is larger than normal. The malformation also affects the area of the brain that makes cerebrospinal fluid (CSF), which is the fluid that surrounds and protects the brain and spinal cord.  People with Dandy-Walker malformation often have an","Dandy-Walker malformation affects brain development, primarily development of the cerebellum, which is the part of the brain that coordinates movement. In individuals with this condition, various parts of the cerebellum develop abnormally, resulting in malformations that can be observed with medical imaging. The central part of the cerebellum (the vermis) is absent or very small and may be abnormally positioned. The right and left sides of the cerebellum may be small as well. In affected individuals, a fluid-filled cavity between the brainstem and the cerebellum (the fourth ventricle) and the part of the skull that contains the cerebellum and the brainstem (the posterior fossa) are abnormally large. These abnormalities often result in problems with movement, coordination, intellect, mood, and other neurological functions.  In the majority of individuals with Dandy-Walker malformation, signs and symptoms caused by abnormal brain development are present at birth or develop within the first year of life. Some children have a buildup of fluid in the brain (hydrocephalus) that may cause increased head size (macrocephaly). Up to half of affected individuals have intellectual disability that ranges from mild to severe, and those with normal intelligence may have learning disabilities. Children with Dandy-Walker malformation often have delayed development, particularly a delay in motor skills such as crawling, walking, and coordinating movements. People with Dandy-Walker malformation may experience muscle stiffness and partial paralysis of the lower limbs (spastic paraplegia), and they may also have seizures. While rare, hearing and vision problems can be features of this condition.  Less commonly, other brain abnormalities have been reported in people with Dandy-Walker malformation. These abnormalities include an underdeveloped or absent tissue connecting the left and right halves of the brain (agenesis of the corpus callosum), a sac-like protrusion of the brain through an opening at the back of the skull (occipital encephalocele), or a failure of some nerve cells (neurons) to migrate to their proper location in the brain during development. These additional brain malformations are associated with more severe signs and symptoms.  Dandy-Walker malformation typically affects only the brain, but problems in other systems can include heart defects, malformations of the urogenital tract, extra fingers or toes (polydactyly) or fused fingers or toes (syndactyly), or abnormal facial features.  In 10 to 20 percent of people with Dandy-Walker malformation, signs and symptoms of the condition do not appear until late childhood or into adulthood. These individuals typically have a different range of features than those affected in infancy, including headaches, an unsteady walking gait, paralysis of facial muscles (facial palsy), increased muscle tone, muscle spasms, and mental and behavioral changes. Rarely, people with Dandy-Walker malformation have no health problems related to the condition.  Problems related to hydrocephalus or complications of its treatment are the most common cause of death in people with Dandy-Walker malformation.</s>"
"ssional. This is the question: What is (are) Ohdo syndrome, Maat-Kievit-Brunner type ? [/] \n Ohdo syndrome, Maat-Kievit-Brunner type is a condition that affects the development of the eye and other parts of the body. People with this condition have eyes that do not look in the same direction (strabismus), severe nearsightedness (high myopia), and progressive loss of sharpness (reduced visual acuity).  Other eye abnormalities in affected individuals include clouding of the lens (cataract), an unusually small eye (microphthalmia) or absent eye (anophthalmia),","The Maat-Kievit-Brunner type of Ohdo syndrome is a rare condition characterized by intellectual disability and distinctive facial features. It has only been reported in males.  The intellectual disability associated with this condition varies from mild to severe, and the development of motor skills (such as sitting, standing, and walking) is delayed. Some affected individuals also have behavioral problems.  Distinctive facial features often seen in this condition include a narrowing of the eye opening (blepharophimosis), droopy eyelids (ptosis), prominent cheeks, a broad nasal bridge, a nose with a rounded tip, a large space between the nose and upper lip (a long philtrum), and a narrow mouth. Some affected individuals also have widely set eyes (hypertelorism), an unusually small chin (micrognathia), and small and low-set ears. As people with the condition get older, these facial characteristics become more pronounced and the face becomes more triangular.  Other possible signs of this condition include dental problems, weak muscle tone (hypotonia), and hearing loss.</s>"
"dical professional. This is the question: What are the symptoms of Herrmann syndrome ? [/INST] \n What are the signs and symptoms of Herrmann syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Herrmann syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 90% Abnormality of the genital system 90% Abnormality of the","What are the signs and symptoms of Herrmann syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Herrmann syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Astrocytosis - Ataxia - Autosomal dominant inheritance - Cochlear degeneration - Confusion - Depression - Diabetes mellitus - Focal motor seizures - Horizontal nystagmus - Nephropathy - Personality changes - Photomyoclonic seizures - Progressive sensorineural hearing impairment - Slowed slurred speech - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
