prediction,references
"al professional. This is the question: What are the symptoms of Short Bowel Syndrome? This is the answer: The symptoms of short bowel syndrome can vary. Most often, people with short bowel syndrome have chronic, watery, nonbloody diarrhea. Some people have stools that are large, puffy, and foul-smelling. Some people may have periods of constipation followed by periods of diarrhea. Other symptoms of short bowel syndrome may include
- weight loss  - malnutrition  - dehydration  - bloating  - flatulence  - abdominal pain  - loss of appetite  - nausea  - vomiting  - fatigue  - weakness
Weight Loss Malnutrition Dehydration Bloating Flatulence Abdominal pain Loss of","People who have any signs or symptoms of severe dehydration should call or see a health care provider right away:
                
- excessive thirst  - dark-colored urine  - infrequent urination  - lethargy, dizziness, or faintness  - dry skin
                
Infants and children are most likely to become dehydrated. Parents or caretakers should watch for the following signs and symptoms of dehydration:
                
- dry mouth and tongue  - lack of tears when crying  - infants with no wet diapers for 3 hours or more  - infants with a sunken soft spot  - unusually cranky or drowsy behavior  - sunken eyes or cheeks  - fever
                
If left untreated, severe dehydration can cause serious health problems:
                
- organ damage  - shockwhen low blood pressure prevents blood and oxygen from getting to organs  - comaa sleeplike state in which a person is not conscious</s>"
"fessional. This is the question: What are the treatments for Pallister-Hall syndrome? What treatment might be available for Pallister-Hall syndrome? There is no standard course of treatment for Pallister-Hall syndrome. Treatment depends on the symptoms and their severity. For example, hydrocephalus may be treated with a ventriculoperitoneal shunt. Other treatments are aimed at managing symptoms and making affected individuals as comfortable as possible. GeneReviews has an article with detailed information on the management of this condition. Click here to view this information.
The NINDS supports and conducts research on genetic disorders such as Pallister-Hall syndrome in an effort to find ways to prevent and treat these disorders. For additional information on",These resources address the diagnosis or management of Pallister-Hall syndrome:  - Gene Review: Gene Review: Pallister-Hall Syndrome  - Genetic Testing Registry: Pallister-Hall syndrome  - MedlinePlus Encyclopedia: Epiglottis (Image)  - MedlinePlus Encyclopedia: Imperforate Anus  - MedlinePlus Encyclopedia: Polydactyly   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care</s>
", you are a medical professional. This is the question: What is (are) Graves disease? What is Graves disease? Graves disease is the most common cause of hyperthyroidism in the United States. Hyperthyroidism is a disorder that occurs when the thyroid gland makes more thyroid hormone than the body needs. Graves disease is caused by an abnormal immune system response. The immune system normally protects the body from infection by identifying and destroying bacteria, viruses, and other foreign substances. But in people with Graves disease, the immune system makes antibodies that attack the thyroid gland. The antibodies cause the gland to make more thyroid hormone than the body needs. Graves disease usually occurs in people ages 20 to 30, but it can occur at","Graves disease is a condition that affects the function of the thyroid, which is a butterfly-shaped gland in the lower neck. The thyroid makes hormones that help regulate a wide variety of critical body functions. For example, thyroid hormones influence growth and development, body temperature, heart rate, menstrual cycles, and weight. In people with Graves disease, the thyroid is overactive and makes more hormones than the body needs. The condition usually appears in mid-adulthood, although it may occur at any age.  Excess thyroid hormones can cause a variety of signs and symptoms. These include nervousness or anxiety, extreme tiredness (fatigue), a rapid and irregular heartbeat, hand tremors, frequent bowel movements or diarrhea, increased sweating and difficulty tolerating hot conditions, trouble sleeping, and weight loss in spite of an increased appetite. Affected women may have menstrual irregularities, such as an unusually light menstrual flow and infrequent periods. Some people with Graves disease develop an enlargement of the thyroid called a goiter. Depending on its size, the enlarged thyroid can cause the neck to look swollen and may interfere with breathing and swallowing.  Between 25 and 50 percent of people with Graves disease have eye abnormalities, which are known as Graves ophthalmopathy. These eye problems can include swelling and inflammation, redness, dryness, puffy eyelids, and a gritty sensation like having sand or dirt in the eyes. Some people develop bulging of the eyes caused by inflammation of tissues behind the eyeball and ""pulling back"" (retraction) of the eyelids. Rarely, affected individuals have more serious eye problems, such as pain, double vision, and pinching (compression) of the optic nerve connecting the eye and the brain, which can cause vision loss.  A small percentage of people with Graves disease develop a skin abnormality called pretibial myxedema or Graves dermopathy. This abnormality causes the skin on the front of the lower legs and the tops of the feet to become thick, lumpy, and red. It is not usually painful.</s>"
" This is the question: what research (or clinical trials) is being done for Dyslexia? [/INST] \n The National Institute of Neurological Disorders and Stroke (NINDS) and other Institutes of the National Institutes of Health (NIH) support research learning disorders such as dyslexia. Current research avenues focus on developing techniques to diagnose and treat learning disabilities. Researchers also hope to improve understanding of their biological basis, which may lead to ways to prevent and even cure them.</s> \n The NINDS supports research to understand how the normal brain develops. This research may lead to techniques to diagnose and treat developmental brain disorders such as dyslexia.</s> \n The National Institute of Child Health and Human","The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) support dyslexia research through grants to major research institutions across the country. Current research avenues focus on developing techniques to diagnose and treat dyslexia and other learning disabilities, increasing the understanding of the biological and possible genetic bases of learning disabilities, and exploring the relationship between neurophysiological processes and cognitive functions with regard to reading ability.</s>"
"al professional. This is the question: What is (are) hereditary folate malabsorption? What is (are) hereditary folate malabsorption? Hereditary folate malabsorption is a disorder that affects the normal function of the intestines. People with this condition do not properly absorb certain B vitamins called folates. Folate malabsorption occurs in the small intestine, during a process called active transport, in which molecules of vitamin C, vitamin D, and the B vitamins are taken into the bloodstream from the spaces between the cells that make up the walls of the intestine. The term hereditary folate malabsorption is used when this disorder is caused by mutations in a gene inherited from a person's parents.","Hereditary folate malabsorption is a disorder that interferes with the body's ability to absorb certain B vitamins (called folates) from food. Folates are important for many cell functions, including the production of DNA and its chemical cousin, RNA.  Infants with hereditary folate malabsorption are born with normal amounts of folates in their body because they obtain these vitamins from their mother's blood before birth. They generally begin to show signs and symptoms of the disorder within the first few months of life because their ability to absorb folates from food is impaired.  Infants with hereditary folate malabsorption experience feeding difficulties, diarrhea, and failure to gain weight and grow at the expected rate (failure to thrive). Affected individuals usually develop a blood disorder called megaloblastic anemia. Megaloblastic anemia occurs when a person has a low number of red blood cells (anemia), and the remaining red blood cells are larger than normal (megaloblastic). The symptoms of this blood disorder may include decreased appetite, lack of energy, headaches, pale skin, and tingling or numbness in the hands and feet. People with hereditary folate malabsorption may also have a deficiency of white blood cells (leukopenia), leading to increased susceptibility to infections. In addition, they may have a reduction in the amount of platelets (thrombocytopenia), which can result in easy bruising and abnormal bleeding.  Some infants with hereditary folate malabsorption exhibit neurological problems such as developmental delay and seizures. Over time, untreated individuals may develop intellectual disability and difficulty coordinating movements (ataxia).</s>"
" a medical professional. This is the question: What is the outlook for Prosopagnosia? What is the prognosis for people with prosopagnosia? There is no cure and there is no standard course of treatment for the disorder. The impairment is not progressive. Affected individuals are likely to continue to have difficulties with face recognition. The social and emotional effects of the impairment may be long lasting. People with prosopagnosia are typically not aware of their impairment until they are diagnosed by a doctor. The social consequences of the disorder can have a devastating effect on some people, especially when they realize they can't recognize people they know well. Others may not be as seriously affected and may never come to medical attention. The","Prosopagnosia can be socially crippling. Individuals with the disorder often have difficulty recognizing family members and close friends. They often use other ways to identify people, such as relying on voice, clothing, or unique physical attributes, but these are not as effective as recognizing a face. Children with congenital prosopagnosia are born with the disability and have never had a time when they could recognize faces. Greater awareness of autism, and the autism spectrum disorders, which involve communication impairments such as prosopagnosia, is likely to make the disorder less overlooked in the future.</s>"
"ical professional. This is the question: Is GM2-gangliosidosis, AB variant inherited? - This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.</s> \n People at risk to pass on an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. When two carriers of an autosomal recessive condition have children, each child has a 25 percent (1 in 4) risk to have the","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.</s>"
" This is the question: What are the symptoms of Trismus-pseudocamptodactyly syndrome? What are the signs and symptoms of Trismus-pseudocamptodactyly syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Trismus-pseudocamptodactyly syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the pinna 90% Camptodactyly of finger 90% Clinodactyly of","What are the signs and symptoms of Trismus-pseudocamptodactyly syndrome? While the symptoms of trismus-pseudocamptodactyly syndrome vary from patient to patient, characteristic symptoms include the inability to open the mouth wide (e.g., less than 6 mm, just under 1/4 of an inch) and shortened muscles, including of the hamstrings and calf muscles. As a result of shortened muscles some infants with trismus-pseudocamptodactyly syndrome have closed or clinched fists, club foot, metatarsus adductus, and calcaneovalgus (where the foot bends sharply at the ankle) at birth. Children with this syndrome may crawl on their knuckles. In adulthood the syndrome may cause reduced hand dexterity, however hand limitation does not often interfere with normal function. The most serious complications of the condition occur as a result of the limited mobility of the mouth, including impairment of adequate calorie intake, speech development, dental care, and difficulty with intubation. The Human Phenotype Ontology provides the following list of signs and symptoms for Trismus-pseudocamptodactyly syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the musculature 90% Limitation of joint mobility 90% Short stature 90% Symphalangism affecting the phalanges of the hand 90% Abnormality of the hip bone 7.5% Mandibular prognathia 7.5% Ptosis 7.5% Deep philtrum 5% Macrocephaly 5% Autosomal dominant inheritance - Cutaneous syndactyly of toes - Distal arthrogryposis - Dysphagia - Facial asymmetry - Feeding difficulties - Hammertoe - Hip dislocation - Talipes equinovarus - Trismus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
"l professional. This is the question: What are the treatments for Holes in the Heart? [/INST] \n The surgeon will repair the hole in the heart using general anesthesia.
                
The child will stay in the hospital for about 5 to 7 days after the surgery. During that time, the child will receive pain medicine and other medicines as needed.
                
Children who have simple repairs usually can go home the day after surgery. Children who have complex repairs may have to stay in the hospital for up to 2 weeks.
                
Most children can return to their normal activities within 4 to 6 weeks after surgery. After 6 weeks, most children can go back to school and start playing sports again.
                
Sometimes doctors","Many holes in the heart don't need treatment, but some do. Those that do often are repaired during infancy or early childhood. Sometimes adults are treated for holes in the heart if problems develop.
                
The treatment your child receives depends on the type, location, and size of the hole. Other factors include your child's age, size, and general health.
                
Treating an Atrial Septal Defect
                
If a child has an atrial septal defect (ASD), routine checkups are done to see whether it closes on its own. About half of all ASDs close on their own over time, and about 20 percent close within the first year of life.
                
Your child's doctor will let you know how often your child should have checkups. For an ASD, frequent checkups aren't needed.
                
If an ASD requires treatment, catheter or surgical procedures are used to close the hole. Doctors often decide to close ASDs in children who still have medium- or large-sized holes by the time they're 2 to 5 years old.
                
Catheter Procedure
                
Until the early 1990s, surgery was the usual method for closing all ASDs. Now, thanks to medical advances, doctors can use catheter procedures to close secundum ASDs. These are the most common type of ASD.
                
Before a catheter procedure, your child is given medicine so he or she will sleep and not feel any pain. Then, the doctor inserts a catheter (a thin, flexible tube) into a vein in the groin (upper thigh). He or she threads the tube to the heart's septum. A device made up of two small disks or an umbrella-like device is attached to the catheter.
                
When the catheter reaches the septum, the device is pushed out of the catheter. The device is placed so that it plugs the hole between the atria. It's secured in place and the catheter is withdrawn from the body.
                
Within 6 months, normal tissue grows in and over the device. The closure device does not need to be replaced as the child grows.
                
Doctors often use echocardiography (echo), transesophageal (tranz-ih-sof-uh-JEE-ul) echo (TEE), and coronary angiography (an-jee-OG-rah-fee) to guide them in threading the catheter to the heart and closing the defect. TEE is a special type of echo that takes pictures of the heart through the esophagus. The esophagus is the passage leading from the mouth to the stomach.
                
Catheter procedures are much easier on patients than surgery. They involve only a needle puncture in the skin where the catheter is inserted. This means that recovery is faster and easier.
                
The outlook for children having this procedure is excellent. Closures are successful in more than 9 out of 10 patients, with no major leakage. Rarely, a defect is too large for catheter closure and surgery is needed.
                
Surgery
                
Open-heart surgery generally is done to repair primum or sinus venosus ASDs. Before the surgery, your child is given medicine so he or she will sleep and not feel any pain.
                
Then, the cardiac surgeon makes an incision (cut) in the chest to reach the ASD. He or she repairs the defect with a special patch that covers the hole. A heart-lung bypass machine is used during the surgery so the surgeon can open the heart. The machine takes over the heart's pumping action and moves blood away from the heart.
                
The outlook for children who have ASD surgery is excellent. On average, children spend 3 to 4 days in the hospital before going home. Complications, such as bleeding and infection, are very rare.
                
In some children, the outer lining of the heart may become inflamed. This condition is called pericarditis (PER-i-kar-DI-tis). The inflammation causes fluid to collect around the heart in the weeks after surgery. Medicine usually can treat this condition.
                
While in the hospital, your child will be given medicine as needed to reduce pain or anxiety. The doctors and nurses at the hospital will teach you how to care for your child at home.
                
They will talk about preventing blows to the chest as the incision heals, limiting activity while your child recovers, bathing, scheduling ongoing care, and deciding when your child can go back to his or her regular activities.
                
Treating a Ventricular Septal Defect
                
Doctors may choose to monitor children who have ventricular septal defects (VSDs) but no symptoms of heart failure. This means regular checkups and tests to see whether the defect closes on its own or gets smaller.
                
More than half of VSDs eventually close, usually by the time children are in preschool. Your child's doctor will let you know how often your child needs checkups. Checkups may range from once a month to once every 1 or 2 years.
                
If treatment for a VSD is required, options include extra nutrition and surgery to close the VSD. Doctors also can use catheter procedures to close some VSDs. They may use this approach if surgery isn't possible or doesn't work. More research is needed to find out the risks and benefits of using catheter procedures to treat VSDs.
                
Extra Nutrition
                
Some infants who have VSDs don't grow and develop or gain weight as they should. These infants usually:
                
Have large VSDs
                
Are born too early
                
Tire easily during feeding
                
Doctors usually recommend extra nutrition or special feedings for these infants. These feedings are high-calorie formulas or breast milk supplements that give babies extra nourishment.
                
Some infants need tube feeding. A small tube is inserted into the mouth and moved down into the stomach. Food is given through the tube.
                
Tube feeding can add to or take the place of bottle feeding. This treatment often is short-term because a VSD that causes symptoms will likely require surgery.
                
Surgery
                
Most doctors recommend surgery to close large VSDs that are causing symptoms, affecting the aortic valve, or haven't closed by the time children are 1 year old. Surgery may be needed earlier if:
                
A child doesn't gain weight
                
Medicines are needed to control the symptoms of heart failure
                
Rarely, medium-sized VSDs that are causing enlarged heart chambers are treated with surgery after infancy. However, most VSDs that require surgery are repaired in the first year of life. Doctors use open-heart surgery and patches to close VSDs.</s>"
" professional. This is the question: What causes Hepatocellular carcinoma, childhood? What causes childhood hepatocellular carcinoma? The exact underlying cause of childhood hepatocellular carcinoma is not known. Risk factors for the development of childhood hepatocellular carcinoma include: prematurity and low birth weight biliary atresia, an infection and progressive liver damage in infants that can lead to liver cirrhosis. liver cirrhosis, a condition in which scar tissue replaces normal liver tissue and causes the liver to harden and lose its ability to function normally. Aflatoxins, a chemical substance produced by a fungus that grows on stored food. Infection with hepatitis B or C virus, or other types of hepatitis infections","What causes hepatocellular carcinoma, childhood? A review of the literature suggests that knowledge regarding the cause of hepatocellular carcinoma in children is lacking due to the rarity of this disease.  Children living in regions of the world where heptatitis B virus is common have been reported to have a much greater risk of developing this disease.  Chronic infection by hepatitis C virus has also been linked to the development of hepatocellular carcinoma. Hepatocellular carcinoma has also been reported to develop in the presence of liver disease, cirrhosis, and inborn errors of metabolism. In addition, various other reported risk factors for developing hepatocellular carcinoma include: male sex, co-infection with other viral liver disease, co-infection with HIV, alcohol abuse, family history of this carcinoma, increased hepatic iron, increased serum alanine aminotransferase levels, exposure to aflatoxin B1 by food contamination, genetic variants of glutathione S-transferase, and various metabolic liver disorders. Chronic Epstein Barr virus infections have also been suggested to play a role in the development of hepatocellular carcinoma in Asian patients. This association remains to be confirmed in other populations.</s>"
is is the question: What are the symptoms of Paranasal Sinus and Nasal Cavity Cancer? What are the signs and symptoms of Paranasal Sinus and Nasal Cavity Cancer? Signs and symptoms of paranasal sinus and nasal cavity cancer include a lump in the nose or nose bleed and nasal congestion that lasts longer than 10 days. Signs and symptoms may be caused by paranasal sinus and nasal cavity cancer or by other conditions. Check with your doctor if you have any of the following: Nasal obstruction. Nasal discharge. Nasal bleeding. Nasal pain. Pain above the upper jaw. Nasal blockage and loss of smell. Nasal congestion that lasts longer than 10 days. The following signs,"Signs of paranasal sinus and nasal cavity cancer include sinus problems and nosebleeds. These and other signs and symptoms may be caused by paranasal sinus and nasal cavity cancer or by other conditions. There may be no signs or symptoms in the early stages. Signs and symptoms may appear as the tumor grows. Check with your doctor if you have any of the following:         - Blocked sinuses that do not clear, or sinus pressure.    - Headaches or pain in the sinus areas.    - A runny nose.    - Nosebleeds.    - A lump or sore inside the nose that does not heal.    - A lump on the face or roof of the mouth.    - Numbness or tingling in the face.    - Swelling or other trouble with the eyes, such as double vision or the eyes pointing in different directions.    - Pain in the upper teeth, loose teeth, or dentures that no longer fit well.    - Pain or pressure in the ear.</s>"
